Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1001,First1,Last1,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1002,First2,Last2,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1003,First3,Last3,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,107,6,0,0
1004,First4,Last4,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,111,2,0,1
1005,First5,Last5,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1006,First6,Last6,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,104,9,0,0
1007,First7,Last7,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,106,7,0,0
1008,First8,Last8,Inactive,,8/24/2020,7/2/2020,11,KIPP Columbus High,0,0,0,0,0
1009,First9,Last9,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1010,First10,Last10,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,108,5,0,0
1011,First11,Last11,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,109,4,0,1
1012,First12,Last12,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,113,0,0,0
1013,First13,Last13,Inactive,,8/24/2020,5/30/2020,9,KIPP Columbus High,0,0,0,0,0
1014,First14,Last14,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,111,2,0,0
1015,First15,Last15,Active,,11/9/2020,6/4/2021,11,KIPP Columbus High,68,67,1,0,0
1016,First16,Last16,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1017,First17,Last17,Inactive,,8/24/2020,5/30/2020,12,KIPP Columbus High,0,0,0,0,0
1018,First18,Last18,Inactive,,10/28/2020,11/16/2020,10,KIPP Columbus High,50,37,13,0,0
1019,First19,Last19,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1020,First20,Last20,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,78,35,0,0
1021,First21,Last21,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,69,44,0,0
1022,First22,Last22,Inactive,,8/24/2020,11/9/2020,9,KIPP Columbus High,45,45,0,0,0
1023,First23,Last23,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,113,0,0,0
1024,First24,Last24,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,99,14,0,0
1025,First25,Last25,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,78,35,0,0
1026,First26,Last26,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1027,First27,Last27,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,96,17,0,0
1028,First28,Last28,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,103,10,0,1
1029,First29,Last29,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,110,3,0,0
1030,First30,Last30,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,111,2,0,1
1031,First31,Last31,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,108,5,0,0
1032,First32,Last32,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,93,20,0,0
1033,First33,Last33,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,105,8,0,0
1034,First34,Last34,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1035,First35,Last35,Active,,9/21/2020,6/4/2021,10,KIPP Columbus High,95,92,3,0,0
1036,First36,Last36,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,102,11,0,0
1037,First37,Last37,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,107,6,0,0
1038,First38,Last38,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1039,First39,Last39,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,112,1,0,0
1040,First40,Last40,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,100,13,0,1
1041,First41,Last41,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,1
1042,First42,Last42,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,104,9,0,1
1043,First43,Last43,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1044,First44,Last44,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1045,First45,Last45,Active,,1/18/2021,6/4/2021,11,KIPP Columbus High,34,32,2,0,0
1046,First46,Last46,Active,,11/10/2020,6/4/2021,9,KIPP Columbus High,67,67,0,0,0
1047,First47,Last47,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1048,First48,Last48,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,89,24,0,0
1049,First49,Last49,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,113,0,0,0
1050,First50,Last50,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1051,First51,Last51,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,73,40,0,0
1052,First52,Last52,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1053,First53,Last53,Inactive,,8/24/2020,9/7/2020,9,KIPP Columbus High,9,0,9,0,0
1054,First54,Last54,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,106,7,0,0
1055,First55,Last55,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1056,First56,Last56,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1057,First57,Last57,Inactive,,8/24/2020,10/14/2020,10,KIPP Columbus High,33,30,3,0,0
1058,First58,Last58,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,102,11,0,0
1059,First59,Last59,Inactive,,1/18/2021,1/19/2021,11,KIPP Columbus High,0,0,0,0,0
1060,First60,Last60,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,0
1061,First61,Last61,Inactive,,8/24/2020,9/22/2020,11,KIPP Columbus High,19,5,14,0,0
1062,First62,Last62,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
